XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
polymyxin_b	1.85699999999999	2391.48420432796	3	65	7.29	8	6	19	171	10	363	12	12	-24.7324	611.691609760001	570.9464
polynoxylin	-1.665	90.0813325857416	0	0	1.24	0	4	3	4	0	12	0	0	-1.9262	3.71024644	19.4496
polysorbate_80	5.869	604.814043202456	3	31	3.88	18	3	28	42	0	102	0	0	5.1737	26.76717169	162.4967
polystyrene_sulfonate	1.553	184.213712980656	0	2	1.9	2	12	3	12	0	20	6	6	1.3451	1.80929401	46.3668
pomalidomide	-0.56	273.074955832	0	1	2.12	0	12	0	22	0	31	6	6	-1.0091	1.01828281	66.3067
ponatinib	5.195	532.219844144001	1	6	3.55	2	26	3	43	2	66	22	21	5.4663	29.88043569	143.2322
posaconazole	5.721	700.329708264001	2	12	3.99	5	13	5	57	0	93	28	28	3.8053	14.48030809	185.8963
potassium_acetate	-0.561	97.977011016	0	0	1.35	0	2	3	3	1	8	0	0	NA	NA	NA
potassium_ascorbate	-0.178	214.214731347388	0	2	1.35	2	7	4	12	1	20	0	0	-2.4371	5.93945641	34.1807
potassium_aspartate	-6.677	359.997343388	1	6	0.91	4	3	6	16	4	35	0	0	NA	NA	NA
potassium_bicarbonate	-0.711	99.956275572	0	0	1.13	0	4	3	3	1	6	0	0	NA	NA	NA
potassium_bitartrate	-2.719	187.97231956	0	3	1.13	4	3	6	9	1	16	0	0	NA	NA	NA
potassium_bromide	0.85	117.88204378	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
potassium_carbonate	-1.192	138.205552928422	0	0	1.02	0	4	3	3	2	6	0	0	-1.1933	1.42396489	4.9426
potassium_chlorate	-0.889	122.549453485355	0	0	0.91	0	3	3	3	1	5	0	0	-2.3823	5.67535329	0
potassium_chloride	0.512	73.93255936	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
potassium_citrate	-4.157	323.905212224	0	5	0.91	5	2	7	12	3	24	0	0	NA	NA	NA
potassium	0	39.0983011244628	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
potassium_gluconate	-4.22	234.014184372	0	5	1.24	6	2	8	12	1	25	0	0	NA	NA	NA
potassium_iodate	-0.351	214.000988907171	0	0	0.91	0	3	3	3	1	5	0	0	-2.3823	5.67535329	0
potassium_iodide	1.05	165.86817968	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
potassium_ion	5.986	460.118068684001	1	8	2.89	4	17	4	33	1	53	22	22	NA	NA	NA
potassium_nitrate	-0.0190000000000001	100.95152454	0	0	0.91	0	3	3	3	1	5	0	0	NA	NA	NA
potassium_perchlorate	-1.356	137.91221784	0	0	0.8	0	4	3	4	1	6	0	0	NA	NA	NA
potassium_permanganate	-1.197	157.88141026	0	0	0.8	0	4	3	4	1	6	0	0	NA	NA	NA
potassium_phosphate	-2.247	135.932776854	0	0	0.8	0	5	3	4	1	8	0	0	NA	NA	NA
potassium_sodium_tartrate	-5.068	281.996522544	1	3	0.58	4	2	6	9	2	28	0	0	NA	NA	NA
potassium_sulfate	-1.764	174.260306952241	0	0	0.69	0	4	3	4	2	7	0	0	-2.0134	4.05377956	8.6416
povidone-iodine	2.383	364.950936299765	0	1	1.68	2	5	2	9	0	19	0	0	1.3539	1.83304521	57.528
practolol	1.016	266.336620335979	0	8	2.45	3	10	7	19	1	41	6	6	0.7524	0.56610576	73.4565
pralatrexate	-2.156	477.176066836001	1	11	2.67	5	12	8	37	0	58	17	16	0.441299999999999	0.194745689999999	121.1211
pralidoxime	2.439	137.071487908	0	1	1.9	0	9	3	10	1	19	6	6	-0.0457999999999998	0.00209763999999999	34.852
pramipexole	0.395	211.114318544	0	3	2.12	3	6	4	15	1	31	5	5	0.0162	0.00026244	58.0037
pramiverine	5.822	293.44655739288	1	4	3.66	3	6	3	24	1	49	12	12	4.8912	23.92383744	94.0867
pramlintide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
pramoxine	3.013	293.199093724001	0	9	2.89	4	8	5	22	1	48	6	6	0.974999999999998	0.950624999999996	79.5768
prasterone	3.035	288.425133001233	0	0	3.33	0	2	0	24	0	49	0	0	3.1983	10.22912289	84.6581
prasugrel	2.198	373.114792720001	0	6	3	2	8	3	29	1	46	11	11	3.0651	9.39483800999998	96.5225
pravastatin	2.275	424.246103492001	1	11	3.22	7	4	8	31	0	66	0	0	-1.8959	3.59443681	105.0247
prazepam	3.656	324.102940844	0	3	3.11	0	17	0	26	0	40	12	12	3.5406	12.53584836	90.3836
praziquantel	2.528	312.183778008001	0	2	3.11	0	6	2	26	0	47	6	6	-0.222100000000002	0.0493284100000011	83.1153
prazosin	1.463	383.159354152001	0	5	2.56	0	14	2	31	0	49	16	15	1.8919	3.57928561000001	103.987
prednazoline	1.926	658.7200483128	1	8	3.88	3	7	6	50	2	93	6	6	2.7435	7.52679224999999	174.585
prednicarbate	2.919	488.241018112001	0	9	3.55	3	6	7	38	0	71	0	0	0.870299999999995	0.757422089999992	126.4395
prednimustine	5.338	646.64209823856	3	13	4.32	4	7	8	48	0	89	6	6	5.6769	32.22719361	174.9833
prednisolone	9.823	684.460119008002	2	23	5.09	18	6	25	52	0	113	0	0	-5.0153	25.15323409	165.8983
prednisone	0.608	358.178023932001	0	2	3.22	2	6	4	29	0	52	0	0	-0.7488	0.56070144	96.3116
pregabalin	1.275	159.125928784	0	5	2.01	6	3	7	10	1	28	0	0	-0.6141	0.37711881	42.6388
pregnenolone	4.833	316.240230264001	0	1	3.55	0	2	3	26	0	55	0	0	0.261	0.0681209999999998	91.3754
pridinol	3.952	295.193614420001	0	5	3.44	3	6	4	24	1	47	12	12	1.4992	2.24760064000001	84.7428
prilocaine	2.095	220.15756326	0	6	2.56	3	9	7	16	1	36	6	6	0.906400000000002	0.821560960000003	63.9259
primaquine	2.086	259.168462292	0	6	2.67	5	12	6	20	1	40	11	10	0.438100000000001	0.191931610000001	76.1779
primidone	1.574	218.105527688	0	2	2.34	0	6	2	17	0	30	6	6	0.3472	0.12054784	57.685
pristinamycin	2.692	866.396289928001	1	8	4.43	0	10	3	68	0	117	18	18	-1.456	2.119936	220.1214
probenecid	2.287	285.103479088001	0	7	2.23	3	13	7	19	0	38	6	6	-0.0118999999999983	0.00014160999999996	69.6578
probucol	11.134	516.309572776001	1	8	4.43	3	7	3	36	0	83	12	12	10.1106	102.22423236	158.4601
procainamide	1.309	235.168462292	0	7	2.45	2	10	8	17	1	38	6	6	1.1713	1.37194369	70.4651
procaine	1.84	236.15247788	0	7	2.45	2	10	8	17	1	37	6	6	1.715	2.941225	69.3153
procarbazine	2.582	221.152812228	0	6	2.34	0	9	5	16	0	35	6	6	0.2182	0.0476112400000001	65.2797
procaterol	1.873	290.163042564001	0	5	2.67	4	12	6	22	1	43	11	10	0.797700000000001	0.636325290000002	76.4869
prochlorperazine	4.566	373.137946448001	0	4	3.11	3	13	3	28	2	49	12	12	4.9838	24.83826244	107.4771
procyclidine	4.163	287.224914548001	0	5	3.33	3	6	4	23	1	50	6	6	-0.545900000000003	0.298006810000003	76.6753
profenamine	5.249	312.166019768001	1	5	3.22	3	13	5	24	1	46	12	12	4.8854	23.86713316	97.0328
progesterone	4.826	314.224580200001	0	1	3.55	0	4	3	26	0	53	0	0	0.917199999999998	0.841255839999997	91.9078
proglumetacin	6.008	843.397391496001	3	26	4.98	5	18	13	64	2	118	22	21	4.34640000000001	18.8911929600001	225.5312
proguanil	3.529	253.109423192	0	6	2.01	0	13	7	17	5	33	6	6	2.2226	4.93995076	65.2236
promazine	4.301	284.134719640001	0	4	3	3	13	5	22	1	40	12	12	4.1073	16.86991329	86.7724
promegestone	3.982	326.224580200001	0	2	3.66	3	6	4	27	0	54	0	0	1.1344	1.28686335999999	99.2125
promestriene	5.853	328.240230264001	1	4	3.66	3	7	4	27	0	56	6	6	1.7009	2.89306081000001	94.1328
promethazine	4.403	284.134719640001	0	3	3	3	13	4	22	1	40	12	12	4.3846	19.22471716	88.4452
propafenone	3.235	341.199093724001	1	11	3.33	3	9	8	26	1	52	12	12	2.2071	4.87129040999999	98.9489
propamidine	3.242	312.366948005194	0	8	2.67	3	10	5	24	4	43	12	12	1.6218	2.63023524	89.2142
propane	2.047	44.0957337209703	0	0	1.79	3	0	3	2	0	11	0	0	1.7402	3.02829604	15.6052
propantheline	4.324	368.222568820001	0	7	3.55	2	13	8	29	2	57	12	12	1.7562	3.08423844	106.7269
proparacaine	2.536	294.194342692001	0	10	2.67	3	11	8	21	1	47	6	6	1.4986	2.24580196	83.5292
propiomazine	4.533	340.160934388001	0	5	3.22	3	15	4	26	1	48	12	12	4.2007	17.64588049	103.8715
propionate	-0.775	114.029288364	0	1	1.35	3	2	4	4	1	14	0	0	NA	NA	NA
propionic_acid	0.173	74.0786620684576	0	1	1.57	3	3	4	4	0	11	0	0	0.437	0.190969	17.2706
propiverine	4.442	367.214743788001	0	8	3.55	3	6	7	29	1	56	12	12	2.1055	4.43313025	102.1707
propofol	4.004	178.135765196	0	2	2.67	0	7	3	13	0	31	6	6	2.3968	5.74465024	55.3659
propolis	3.595	452.147117728001	0	7	3.33	0	15	4	36	0	57	16	15	2.7517	7.57185289000001	117.4348
propoxyphene	5.785	565.249808968001	1	10	4.1	4	14	9	41	1	79	23	22	5.8705	34.46277025	154.1149
propranolol	3.028	259.157228912	0	6	2.89	3	11	7	20	1	40	11	10	1.8914	3.57739396	77.0818
propylene	1.786	42.0798522133188	0	0	1.79	3	2	3	2	0	9	0	0	1.3495	1.82115025	15.6493
propylene_glycol	-0.748	76.052429496	0	1	1.57	3	0	4	4	0	13	0	0	-0.9081	0.82464561	19.138
propylthiouracil	1.075	170.05138394	0	2	1.79	3	8	3	11	0	21	6	6	1.3749	1.89035001	39.4323
propyphenazone	2.47	230.141913196	0	2	2.67	0	12	3	18	0	35	11	11	3.58	12.8164	65.6966
prothionamide	1.362	180.072119384	0	3	2.12	3	9	3	12	0	24	6	6	0.868	0.753424	51.897
prothipendyl	3.777	285.129968608001	0	4	2.78	3	13	5	22	1	39	12	12	3.1361	9.83512321	84.8786
protriptyline	4.721	263.167399672	0	4	3.44	3	14	5	22	1	41	12	12	3.0348	9.21001104	85.443
pseudoephedrine	1.388	165.1153641	0	3	2.34	3	6	5	12	1	27	6	6	0.846300000000001	0.716223690000002	49.8529
pyrantel	2.062	206.087769448	0	2	2.34	2	10	2	15	2	28	5	5	1.1254	1.26652516	61.2193
pyrazinamide	-1.506	123.04326178	0	1	1.57	0	9	3	9	0	14	6	6	-0.824	0.678976	28.8506
pyrethrins	7.682	700.397518752002	2	16	5.31	5	5	5	53	0	107	0	0	7.448	55.472704	205.1151
pyridostigmine	1.978	181.097702656	0	3	2.01	0	10	4	13	1	26	6	6	-0.7392	0.54641664	44.6387
pyridoxal	-0.00700000000000006	167.058243148	0	2	1.9	0	9	2	12	0	21	6	6	-0.1505	0.02265025	43.5936
pyridoxine	-0.514	169.073893212	0	2	1.9	0	7	2	12	0	23	6	6	-0.5966	0.355931560000001	45.0778
pyrilamine	2.769	401.195070964001	0	9	2.89	4	8	6	29	1	56	12	12	2.6364	6.95060496	111.834
pyrimethamine	2.681	248.082874096	0	2	2.23	0	14	2	18	0	30	12	12	2.1598	4.66473604	71.9386
pyroglutamate	-0.827	129.042593084	0	1	1.57	0	3	3	9	0	16	0	0	-1.2849	1.65096801	25.4444
quazepam	5.558	386.026759912	1	3	2.45	2	17	3	27	0	36	12	12	5.6656	32.09902336	93.244
quercetin	2.05	320.053217344	1	1	2.23	0	22	0	24	0	35	17	16	2.5831	6.67240561	69.8262
quetiapine	2.947	383.166748040001	0	6	3.11	2	15	6	30	3	52	12	12	2.8754	8.26792516	110.3388
quinacrine	5.628	507.182225052001	1	9	3	5	16	8	30	1	68	16	14	3.9079	15.27168241	115.7178
quinagolide	2.227	395.224262916001	0	7	2.89	3	7	5	29	1	60	6	6	0.667999999999999	0.446223999999999	105.1809
quinapril	3.16	438.215472060001	0	11	3.44	4	6	9	34	1	62	12	12	1.5876	2.52047376	118.198
quinate	2.331	544.158076336001	2	11	3.11	3	13	5	41	0	67	12	12	2.7445	7.53228025	133.5523
quinidine	2.604	324.183778008001	0	4	3.22	0	11	2	27	1	48	11	10	1.5097	2.27919409	90.7055
quinine	2.604	324.183778008001	0	4	3.22	0	11	2	27	1	48	11	10	1.3823	1.91075329	90.7806
quinupristin	3.788	1021.473160344	1	11	5.09	0	10	3	80	1	140	18	18	-1.66299999999999	2.76556899999995	260.6078
rabeprazole	0.563	359.130362532001	0	8	2.67	3	11	6	27	0	46	16	15	2.0018	4.00720324	88.2822
racecadotril	3.117	385.134779216001	1	12	3.11	3	6	11	28	0	50	12	12	3.0974	9.59388676	105.4494
racepinephrine	0.277	183.089543276	0	3	2.01	2	8	5	13	1	26	6	6	0.576999999999999	0.332928999999998	48.5065
radium	0	NA	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
raloxifene	5.791	459.150429280001	1	6	3.77	0	26	2	37	1	58	22	21	4.685	21.949225	126.2272
raltegravir	2.905	444.155745992001	0	8	2.34	0	11	5	34	0	53	17	17	1.7451	3.04537401	106.2791
raltitrexed	1.688	458.126005424	0	10	2.56	5	11	8	34	0	54	16	15	1.6485	2.71755225	112.0635
ramelteon	2.446	259.157228912	0	5	2.89	3	7	6	21	0	40	6	6	0.8253	0.681120089999999	72.1639
ramipril	2.885	416.231122124001	0	11	3.22	4	6	9	32	1	62	6	6	-0.4261	0.18156121	104.4117
ranolazine	1.598	427.247106536001	0	10	3.33	3	9	4	33	2	64	12	12	3.4771	12.09022441	120.6543
rapacuronium	8.495	676.381470532002	1	9	4.76	3	3	4	48	3	105	0	0	NA	NA	NA
rasagiline	2.109	171.104799416	0	2	2.67	3	6	4	14	1	26	6	6	1.5985	2.55520225	52.0875
reboxetine	3.071	313.167793596001	0	6	3.11	0	8	3	25	1	46	12	12	3.1064	9.64972096000001	88.955
regadenoson	-1.692	408.15058036	2	5	1.57	0	18	4	31	0	49	15	14	-2.4092	5.80424464	95.7745
regorafenib	3.913	482.0768809	0	9	2.45	0	26	4	35	0	48	18	18	5.1288	26.30458944	109.732
remifentanil	1.384	376.199821996001	0	10	2.89	3	9	5	28	1	55	6	6	0.501900000000001	0.251903610000001	96.9754
remoxipride	2.874	370.089204696001	0	7	2.56	0	11	4	23	1	45	6	6	1.9092	3.64504464	85.3943
repaglinide	6.056	452.267507632001	1	11	3.77	4	10	7	35	0	69	12	12	2.6184	6.85601856	124.4349
reproterol	0.111	389.169918836001	0	7	2.34	3	11	7	30	1	51	16	15	0.476999999999998	0.227528999999999	92.4001
reserpine	3.631	608.273380860001	0	10	3.88	0	12	4	49	1	84	16	15	3.3572	11.27079184	158.8176
resveratrol	3.438	228.078644244	0	2	2.67	2	17	2	18	0	29	12	12	3.3962	11.53417444	66.3698
retapamulin	4.998	517.322579984001	0	6	4.1	2	3	4	40	1	83	0	0	-0.233100000000002	0.0543356100000009	137.0907
ribavirin	-2.433	244.080769484	0	3	1.35	0	8	3	18	0	29	5	5	-2.5285	6.39331225	50.1542
riboflavin	-1.403	376.13828436	0	5	2.23	5	16	6	29	0	47	15	14	0.977500000000001	0.955506250000002	86.8425
rifabutin	4.588	846.441508804002	1	5	4.87	3	24	3	66	1	123	6	6	0.386599999999999	0.149459559999999	225.0856
rifampin	3.996	822.405123296002	2	5	4.43	0	26	3	63	1	117	11	10	2.3745	5.63825025	219.3154
rifamycins	3.966	697.309825944001	1	3	4.1	2	23	3	53	0	97	11	10	2.1544	4.64143936000001	181.2009
rifapentine	5.255	876.452073488002	3	6	4.87	0	26	3	68	1	127	11	10	1.0698	1.14447204	228.663
rifaximin	5.767	785.352359452002	1	3	4.65	0	29	3	62	0	108	20	17	3.5555	12.64158025	206.9122
rilmenidine	1.654	180.126263132	0	4	2.23	0	4	2	15	2	29	0	0	0.233000000000001	0.0542890000000003	46.0982
rilpivirine	4.291	402.135972288001	0	5	3.11	3	26	4	30	0	48	18	18	5.078	25.786084	111.2444
riluzole	2.281	234.00746844	0	2	1.57	0	11	3	16	0	20	10	9	3.9562	15.65151844	50.8392
rimantadine	3.578	179.167399672	0	1	2.67	0	0	3	15	1	34	0	0	-0.886299999999999	0.785527689999998	53.4076
rimexolone	4.171	370.250794948001	0	2	3.77	3	6	4	30	0	61	0	0	0.592499999999998	0.351056249999998	108.269
riociguat	2.343	422.161500068001	0	6	2.45	0	21	5	34	0	50	22	21	2.4492	5.99858064000001	112.0487
risedronate	-3.622	304.9830192	0	4	1.02	2	6	5	17	1	28	6	6	NA	NA	NA
risedronic_acid	-3.622	283.001074952	0	4	1.13	2	6	5	17	0	28	6	6	-0.3637	0.13227769	55.9775
risperidone	2.596	410.211804324001	0	4	3.22	2	9	2	34	1	57	16	15	1.9899	3.95970201	105.092
ritodrine	2.444	287.152143532001	0	6	2.89	3	7	6	22	1	42	12	12	2.4054	5.78594916	82.1553
ritonavir	3.938	720.312760636001	2	22	4.1	6	6	15	53	0	98	22	22	3.733	13.935289	194.5915
rivaroxaban	0.61	435.065569356	0	6	2.45	0	13	4	32	0	47	11	11	2.0376	4.15181376	106.6541
rivastigmine	2.289	250.168127944	0	6	2.56	0	10	5	18	1	40	6	6	2.2402	5.01849604	73.0063
rizatriptan	1.467	269.164045608	0	5	2.56	2	9	4	22	1	39	15	14	2.0021	4.00840440999999	82.5418
rocuronium	5.03	529.400533176001	1	6	4.32	3	3	3	43	3	91	0	0	-0.8488	0.720461440000001	142.3316
rofecoxib	3.252	314.061279928	0	3	2.78	0	20	3	24	0	36	12	12	2.8715	8.24551225000001	83.8311
roflumilast	3.999	402.034954108	0	8	2.34	0	17	3	28	0	40	12	12	4.3189	18.65289721	89.8171
romidepsin	3.619	540.207626872001	0	2	2.78	0	8	3	37	0	72	0	0	-0.126700000000003	0.0160528900000009	136.1292
ropinirole	2.254	260.188863388	0	7	2.89	3	9	7	20	1	43	6	6	0.7249	0.525480010000001	75.5751
ropivacaine	3.001	274.204513452001	0	5	3	3	9	3	21	1	46	6	6	0.922500000000001	0.851006250000001	76.1134
rosiglitazone	2.443	357.114712468001	0	7	2.67	2	7	5	27	0	44	12	12	3.0082	9.04926724	96.8997
rosuvastatin	2.431	481.168284836001	0	10	2.67	7	18	8	34	0	61	12	12	1.8189	3.30839721000001	121.4258
rotigotine	3.477	315.165685420001	0	6	3.22	3	7	6	24	1	47	11	11	2.3041	5.30887681	91.2711
roxatidine	2.113	348.204907376001	0	11	2.89	3	7	10	26	1	53	6	6	-0.315699999999999	0.0996664899999994	88.1135
roxithromycin	1.736	836.524569732002	2	13	4.1	2	3	8	60	1	134	0	0	-2.6352	6.94427904000002	206.9502
rufinamide	0.892	238.066617316	0	3	1.79	0	8	3	18	0	25	11	11	1.909	3.644281	56.507
ruscogenin	4.378	430.621000584236	0	0	3.99	0	2	0	36	0	73	0	0	3.4083	11.61650889	121.7366
rutin	-0.0519999999999997	610.153384880001	2	6	2.67	0	22	2	47	0	73	17	16	0.0687999999999992	0.00473343999999989	132.9171
ruxolitinib	2.696	306.159294576	0	4	2.67	3	14	4	26	0	41	15	14	0.546899999999999	0.299099609999999	83.1203
saccharin	-0.616	475.987227692	1	0	1.35	0	12	0	26	0	45	12	12	NA	NA	NA
salicin	-0.501	286.105252916	0	4	2.12	0	7	2	21	0	38	6	6	-0.9463	0.89548369	66.9992
salicylamide	1.361	137.047678464	0	1	1.9	0	10	3	10	0	17	6	6	0.7813	0.61042969	35.2305
salicylic_acid	1.66	138.031694052	0	1	1.9	0	10	3	10	0	16	6	6	1.3037	1.69963369	34.9332
salmeterol	4.177	415.272258664001	1	16	3.66	6	7	15	31	1	67	12	12	-0.227899999999999	0.0519384099999996	111.7696
salmon_calcitonin	-12.3560000000001	3431.86103357149	4	124	7.07	6	7	48	243	6	479	11	11	-16.0657	258.106716490001	842.7518
salsalate	3.162	258.05282342	0	4	2.45	0	19	3	20	0	29	12	12	2.8724	8.25068176	66.661
samarium	0	150.36634852618	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
samarium_sm153	0	150.36634852618	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
sapropterin	0.175	241.11748934	1	2	1.57	3	10	4	18	0	32	6	6	-1.5368	2.36175424	63.6707
saquinavir	3.834	670.384268700001	2	16	4.43	4	13	9	53	1	99	17	16	1.3038	1.69989444	177.035
saxagliptin	0.264	333.205241724001	0	3	2.78	2	3	4	27	1	51	0	0	-2.0859	4.35097881000001	81.5658
scopolamine	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
secnidazole	0.317	185.180823973416	0	3	1.57	3	8	3	13	0	24	5	5	0.0823	0.00677329000000001	46.113
secobarbital	2.282	238.131742436	0	5	2.23	5	8	5	17	0	35	0	0	-0.0634999999999998	0.00403224999999997	59.1453
secretin	NA	3052.31655240163	NA	131	7.95	6	7	85	220	NA	420	23	23	NA	NA	NA
selegiline	2.659	187.136099544	0	4	2.78	3	6	6	14	1	31	6	6	2.6295	6.91427025	60.8302
selenite	-0.235	173.88080372	0	0	0.8	0	3	3	3	2	6	0	0	NA	NA	NA
selenium	-0.296	143.8606633	0	0	1.13	0	2	3	2	0	3	0	0	1.7516	3.06810256	18.8676
selenium_sulfide	-0.296	143.8606633	0	0	1.13	0	2	3	2	0	3	0	0	1.7516	3.06810256	18.8676
sennoside_b	1.406	862.195643616001	2	9	3.88	0	19	3	69	0	100	24	24	0.446	0.198916	204.873
sennosides_usp	1.406	862.740754861863	3	9	3.88	0	19	3	69	0	100	24	24	0.307599999999999	0.0946177599999992	203.874
serine	-3.956	105.042593084	0	2	1.35	3	3	5	6	1	14	0	0	-1.5955	2.54562025	22.041
serotonin	1.516	212.071640716	0	2	2.12	2	10	3	14	1	27	10	9	1.2176	1.48254976	51.7638
sertaconazole	6.195	435.99706714	1	6	2.89	2	9	4	30	0	42	21	20	6.0977	37.18194529	113.397
sertindole	4.14	440.177917352001	0	5	3.33	2	15	2	35	1	57	16	15	3.3205	11.02572025	116.0438
sertraline	5.144	305.073804904	1	2	3	0	6	2	22	1	37	12	12	4.2444	18.01493136	83.7304
sevelamer	0.661	149.060741684	0	2	1.79	3	2	4	8	1	21	0	0	0.5322	0.28323684	39.1385
sevoflurane	3.177	200.007212256	0	4	1.02	3	0	6	11	0	15	0	0	2.233	4.986289	23.3038
sibutramine	5.171	279.175377512001	1	5	3.11	4	6	6	20	1	45	6	6	2.9289	8.57845521	81.9986
sildenafil	1.538	474.204924440001	0	7	2.67	3	21	3	36	1	63	16	15	1.5178	2.30371684	119.71
silicon_dioxide_colloidal	-0.798	60.0841946100721	0	0	1.13	0	2	3	2	0	3	0	0	-0.0466	0.00217156	2.8858
silicon_dioxide	-0.798	60.0841946100721	0	0	1.13	0	2	3	2	0	3	0	0	-0.0466	0.00217156	2.8858
silodosin	3.662	495.234491164001	1	14	3.11	3	10	6	37	1	67	12	12	2.86	8.17959999999999	125.1884
silver_nitrate	-0.0190000000000001	168.89291486	0	0	0.91	0	3	3	3	1	5	0	0	NA	NA	NA
silver_sulfadiazine	0.167	355.949718528	0	3	1.68	0	17	3	18	1	27	12	12	NA	NA	NA
silymarin	2.102	482.121296904001	0	4	3.11	0	11	2	39	0	57	18	18	3.026	9.156676	119.1331
simeprevir	3.503	771.273635092001	0	9	3.99	0	17	5	58	1	99	16	15	NA	NA	NA
simethicone	4.38	264.139709726	0	6	2.01	0	0	9	14	0	43	0	0	2.925	8.55562499999999	54.1306
simvastatin	4.775	418.271924316001	0	7	3.66	4	4	5	32	0	68	0	0	1.0638	1.13167044	111.4563
sincalide	-1.659	1142.350738904	3	40	3.66	4	11	27	81	1	140	22	21	-1.8637	3.47337768999998	271.5006
sirolimus	4.321	913.555141588002	1	6	5.53	3	6	3	68	0	144	0	0	-1.1466	1.31469156000001	237.1376
sitagliptin	3.849	407.11807942	0	6	1.9	4	6	5	30	1	43	11	11	1.7916	3.20983056	87.9155
sobrerol	0.761	170.130679816	0	1	2.34	0	2	3	12	0	30	0	0	0.549199999999999	0.301620639999999	49.0157
sodium_acetate	-0.561	82.003073616	0	0	1.35	0	2	3	3	1	8	0	0	NA	NA	NA
sodium_ascorbate	-0.178	198.014032224	0	2	1.35	2	7	4	12	1	20	0	0	NA	NA	NA
sodium_bicarbonate	-0.711	83.982338172	0	0	1.13	0	4	3	3	1	6	0	0	NA	NA	NA
sodium_bisulfite	-1.574	330.03853272	0	1	1.57	0	10	3	18	1	36	6	6	NA	NA	NA
sodium_bromide	0.85	101.90810638	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
sodium_carbonate	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
sodium_chloride	0.512	57.95862196	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
sodium_chlorite	-0.422	90.4415167133228	0	0	1.02	0	2	3	2	1	4	0	0	-1.5882	2.52237924	0
sodium_citrate	-3.69	257.97283534	0	5	1.02	5	2	7	12	3	21	0	0	NA	NA	NA
sodium	-3.606	189.89825366	0	1	0.47	0	7	4	6	2	9	0	0	NA	NA	NA
sodium_fluoride	0.375	41.9881725	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
sodium_gluconate	-4.22	218.137367445797	0	5	1.24	6	3	8	12	1	25	0	0	-3.4091	11.62196281	36.0683
sodium_hydroxide	-0.467	39.992508932	0	0	1.24	0	0	0	0	1	3	0	0	NA	NA	NA
sodium_iodide	1.05	149.89424228	0	0	1.24	0	0	0	0	1	2	0	0	NA	NA	NA
sodium_oxybate	-1.082	126.029288364	0	3	1.46	4	2	6	6	1	15	0	0	NA	NA	NA
sodium_pertechnetate_tc_99m	-1.197	NA	0	0	0.8	0	4	3	4	1	6	0	0	-0.864	0.746496	4.3287
sodium_phosphate	-2.247	141.940783702	0	0	0.69	0	5	3	4	2	8	0	0	NA	NA	NA
sodium_phosphate,_dibasic	-3.181	177.96191307	0	0	0.47	0	5	3	4	2	14	0	0	NA	NA	NA
sodium_phosphate,_monobasic	-2.247	119.958839454	0	0	0.8	0	5	3	4	1	8	0	0	NA	NA	NA
sodium_polystyrene_sulfonate	1.553	184.213712980656	0	2	1.9	2	12	3	12	0	20	6	6	1.3451	1.80929401	46.3668
sodium_selenate	-0.798	189.87571834	0	0	0.69	0	4	3	4	2	7	0	0	NA	NA	NA
sodium_stibogluconate	-8.54	908.888106121128	3	8	-0.63	2	9	4	32	3	79	0	0	-5.7941	33.57159481	72.8595
sodium_succinate	-1.191	140.00855292	0	3	1.35	4	3	6	7	1	14	0	0	NA	NA	NA
sodium_sulfate	-6.434	322.036914880001	2	0	-0.41	0	4	3	4	2	37	0	0	NA	NA	NA
sodium_sulfide	-0.148	79.0535643068638	0	0	1.13	0	0	0	0	2	4	0	0	0	0	0
sodium_tetradecyl_sulfate	4.802	316.168424688001	1	11	2.34	11	5	11	18	1	49	0	0	NA	NA	NA
sodium_thiosulfate	-3.68	247.96124784	0	0	0.14	0	4	3	4	2	22	0	0	NA	NA	NA
sofosbuvir	1.236	529.162544358001	2	11	2.34	3	11	9	38	0	65	12	12	1.6344	2.67126336000001	113.931
solfenacin	3.572	362.465601494805	0	4	3.55	0	6	3	31	1	53	12	12	4.0295	16.23687025	106.0568
solifenacin	3.572	362.199428072001	0	4	3.55	0	6	3	31	1	53	12	12	2.4409	5.95799281	101.1465
somatostatin	2.167	1636.716655108	3	28	5.53	4	9	7	120	3	219	28	27	-8.1627	66.62967129	398.114
sorafenib	3.752	464.086302712	0	9	2.56	0	26	4	34	0	48	18	18	5.0507	25.50957049	109.4405
